"","ERR188044","ERR188104","ERR188234","ERR188245","ERR188257","ERR188273","ERR188337","ERR188383","ERR188401","ERR188428","ERR188454","ERR204916"
"NM_001277127",7.6817564582512,7.38205262846644,8.07432948850476,7.38205262846644,7.71742585086582,8.10186224748642,7.68230897063899,7.70791347455429,7.80820419906351,7.73954057202614,7.38205262846644,7.38205262846644
"NM_001010891",9.45112077769828,9.53025181077914,9.35261285566243,9.35880070310161,9.4553612904454,9.36606729411548,9.5434846751616,9.39503744545239,9.45139106734292,9.18968535376139,9.23329129014272,9.2111747366124
"NM_052893",8.49213061842185,7.68347298157834,8.37760940469468,7.73489566875631,8.65516452132401,8.69935979170681,7.38205262846644,7.70791347455429,8.24765019531481,7.73954057202614,7.70278987846937,8.2230078115686
"NM_014324",9.19499507560769,8.95237801879039,9.07415566569485,8.57350148351338,9.1226156173157,8.87810237579065,9.23137165886773,9.10153601416921,9.10534412084801,9.21087583221992,9.19994493732988,8.96125591844023
"NM_014424",7.77023532087404,8.09757655944706,7.90431684921004,7.93227931244036,7.38205262846644,7.38205262846644,7.77084923101671,7.38205262846644,7.88193614762285,7.38205262846644,7.38205262846644,8.02858258151024
"NM_014425",9.27493785280108,9.1373336487166,9.09447643909712,8.8661692819172,8.59679421708036,8.68140157284128,9.0175342565591,8.73145323352227,9.23724624675183,9.03198089900485,9.0206331425861,9.17207859352167
"NR_033959",8.27038403763666,8.47183605723245,8.35452457528556,8.43584815720677,8.43571001163058,8.27015864070458,8.49008898932856,8.23361537793626,8.34836839861342,8.28894834112416,8.23289275049968,8.19626174191956
"NM_023105",7.6817564582512,7.68347298157834,7.38205262846644,8.10426171923417,7.38205262846644,7.79345927812807,7.68230897063899,7.70791347455429,7.66642725412686,7.73954057202614,7.92757564832922,7.38205262846644
"NM_001012967",9.04122551182723,9.3931136971309,8.85021053341437,8.75320854432455,9.39231295775438,9.263460714874,9.81029790351875,8.95477035186506,9.35556620077906,9.47904921549821,9.22356222903654,9.01583786035395
"NM_001287189",7.6817564582512,7.38205262846644,8.20853930182282,7.73489566875631,8.26653833845238,8.41782318380315,8.40358602033018,7.38205262846644,8.33565130864036,7.73954057202614,7.38205262846644,8.42170789202812
"NM_001135178",8.86828006229701,8.84498739076545,8.82570893046018,8.81963237868413,8.7029191749318,8.76790643349264,8.96109524011156,8.71337683626491,8.7946316447273,8.73899310636038,8.842893316815,8.92691004856161
"NM_002223",12.6020999368083,12.4544622114885,10.7293871227718,11.1209446689446,11.7421366709533,11.2695579749899,11.9101826209645,11.3111512465376,11.557939094022,11.6108145472523,11.2275209901045,11.8917247294432
