transcript_id,SRR1039508,SRR1039509,SRR1039512,SRR1039513
ENST00000384875,0,0,0,0
ENST00000339381,0,0,0,0
ENST00000414253,0,0,0,0
ENST00000470022,0,0,0,0
ENST00000641515,0,0,0,0
ENST00000622020,0,0,0,0
ENST00000633821,0,0,0,0
ENST00000465911,0,0,0,0
ENST00000480542,0,0,0,0
ENST00000465916,0,0,0,0
ENST00000620552,136,84,0,49
ENST00000480499,4,7,0,6
ENST00000488042,0,0,0,0
ENST00000412397,0,0,0,0
ENST00000606372,0,4,0,0
ENST00000333854,0,0,0,2
ENST00000533916,4,2,0,0
ENST00000364105,0,0,0,0
ENST00000592547,0,0,0,2
ENST00000420964,1,2,0,1
ENST00000425657,0,0,0,0
ENST00000328089,0,0,0,49
ENST00000378785,0,0,0,0
ENST00000610709,0,0,0,0
ENST00000378546,0,0,0,0
ENST00000514234,0,0,0,0
ENST00000378543,0,0,0,0
ENST00000434817,0,0,0,0
ENST00000478223,0,0,0,0
ENST00000394517,0,0,0,0
ENST00000485710,0,5,0,1
ENST00000602406,0,0,0,0
ENST00000472541,2,6,0,0
ENST00000495016,0,2,0,0
ENST00000377658,0,0,0,99
ENST00000445297,0,0,0,0
ENST00000503789,0,0,0,0
ENST00000585768,0,0,0,0
ENST00000475790,3,0,0,0
ENST00000470373,4,7,0,0
ENST00000484537,0,0,0,0
ENST00000447725,0,0,0,0
ENST00000377436,0,0,0,0
ENST00000340381,0,0,0,0
ENST00000484532,0,0,0,0
ENST00000378169,0,0,0,0
ENST00000474461,0,0,0,0
ENST00000378161,3,2,0,0
ENST00000597891,0,2,0,0
ENST00000432964,0,0,0,0
ENST00000432961,0,0,0,0
ENST00000377346,0,0,0,0
ENST00000432963,0,0,0,0
ENST00000444968,0,2,0,3
ENST00000475229,0,0,0,0
ENST00000475228,0,0,0,0
ENST00000425872,0,0,0,20
ENST00000464748,0,0,0,0
ENST00000607769,0,0,0,0
ENST00000439272,0,9,0,0
ENST00000491842,0,0,0,0
ENST00000476686,0,0,0,0
ENST00000641860,0,0,0,0
ENST00000471154,3,1,0,2
ENST00000591440,0,0,0,0
ENST00000419973,0,0,0,0
ENST00000377507,0,0,0,0
ENST00000487437,0,0,0,0
ENST00000482402,0,0,0,4
ENST00000428161,0,0,0,0
ENST00000420190,0,0,0,0
ENST00000609207,6,0,0,0
ENST00000470763,4,0,0,0
ENST00000478770,0,0,0,0
ENST00000446136,4,0,0,0
ENST00000635159,0,3,0,0
ENST00000622921,0,0,0,0
ENST00000452176,0,0,0,0
ENST00000465727,4,0,0,0
ENST00000420515,0,0,0,0
ENST00000341385,0,0,0,0
ENST00000487659,2,3,0,0
ENST00000346387,0,0,0,0
ENST00000445501,0,0,0,0
ENST00000278878,0,0,0,0
ENST00000409119,0,0,0,0
ENST00000479223,0,0,0,0
ENST00000463758,5,0,0,7
ENST00000419394,0,0,0,0
ENST00000461667,0,0,0,0
ENST00000639045,0,0,0,0
ENST00000481175,0,0,0,0
ENST00000489498,21,0,0,0
ENST00000631679,0,0,0,0
ENST00000429957,0,0,0,0
ENST00000435198,0,0,0,0
ENST00000498476,0,0,0,0
ENST00000641679,0,0,0,0
ENST00000628140,0,0,0,0
ENST00000641078,0,0,0,0
ENST00000508400,0,0,0,0
ENST00000507179,0,0,0,0
ENST00000234590,0,0,0,457
ENST00000488540,0,0,0,0
ENST00000640030,0,0,0,0
ENST00000601814,0,1,0,0
ENST00000444362,0,1,0,0
ENST00000469691,0,0,0,0
ENST00000467612,0,0,0,0
ENST00000379319,0,0,0,0
ENST00000379317,0,0,0,0
ENST00000512462,0,0,0,0
ENST00000515423,0,4,0,0
ENST00000512731,2,1,0,2
ENST00000641325,0,0,0,4
ENST00000270708,0,0,0,5
ENST00000603781,0,0,0,0
ENST00000491779,0,0,0,0
ENST00000412120,0,0,0,0
ENST00000458555,0,0,0,0
ENST00000473798,7,0,0,5
ENST00000506941,0,0,0,0
ENST00000474916,1,2,0,0
ENST00000492766,0,0,0,0
ENST00000378206,0,0,0,0
ENST00000531292,4,5,0,4
ENST00000456687,0,0,0,0
ENST00000359060,11,7,0,7
ENST00000378755,14,12,0,0
ENST00000378209,0,0,0,0
ENST00000471361,0,0,0,0
ENST00000494951,0,0,0,0
ENST00000505849,0,0,0,0
ENST00000419704,0,0,0,0
ENST00000378756,0,0,0,9
ENST00000469045,0,0,0,0
ENST00000607307,11,4,0,6
ENST00000469289,0,0,0,0
ENST00000377648,0,0,0,44
ENST00000378378,0,0,0,0
ENST00000439513,2,0,0,0
ENST00000495576,0,0,0,0
ENST00000378373,0,0,0,0
ENST00000378371,0,0,0,0
ENST00000338338,0,29,0,22
ENST00000557126,0,0,0,0
ENST00000491212,0,0,0,0
ENST00000483767,0,26,0,16
ENST00000468397,0,0,0,0
ENST00000377424,0,0,0,4
ENST00000477679,0,0,0,0
ENST00000378191,0,0,0,0
ENST00000378190,0,0,0,0
ENST00000469733,0,1,0,0
ENST00000356200,5,3,0,14
ENST00000609830,0,0,0,0
ENST00000624426,4,0,0,0
ENST00000429480,0,0,0,0
ENST00000441724,0,0,0,0
ENST00000377516,0,0,0,0
ENST00000473209,0,0,0,0
ENST00000416718,2603,2919,2565,2338
ENST00000610067,0,0,0,0
ENST00000416931,457,559,675,519
ENST00000496404,0,0,0,0
ENST00000401096,0,0,0,0
ENST00000401095,0,0,0,0
ENST00000589899,4,0,0,0
ENST00000437905,0,0,0,0
ENST00000497869,0,0,0,0
ENST00000604074,0,0,0,0
ENST00000479239,0,2,0,0
ENST00000629312,0,0,0,0
ENST00000510793,0,0,0,0
ENST00000636676,1,0,1,0
ENST00000427426,2134,2896,4665,2814
ENST00000599771,0,0,0,0
ENST00000428120,33,8,0,4
ENST00000637702,0,0,0,0
ENST00000481140,0,0,0,0
ENST00000564261,0,0,0,0
ENST00000497183,0,0,0,0
ENST00000482365,0,17,0,0
ENST00000445600,0,0,0,0
ENST00000482360,0,0,0,2
ENST00000434694,0,0,0,0
ENST00000234610,9,4,0,0
ENST00000356575,2,0,0,0
ENST00000164247,0,7,0,7
ENST00000341028,0,0,0,0
ENST00000410579,0,0,0,0
ENST00000456897,0,0,0,0
ENST00000605785,0,0,0,0
ENST00000418088,0,11,0,0
ENST00000473578,0,0,0,10
ENST00000570344,0,0,0,0
ENST00000537107,0,7,0,0
ENST00000497660,0,0,0,0
ENST00000414273,14973,14712,18466,11846
ENST00000624927,0,0,0,0
ENST00000485002,0,0,0,0
ENST00000435221,9,0,0,0
ENST00000437586,0,0,0,77
ENST00000452793,0,0,0,0
ENST00000515145,0,0,0,0
ENST00000545482,0,0,0,0
ENST00000379101,0,0,0,0
ENST00000476803,5,11,0,6
ENST00000640317,0,0,0,0
ENST00000503672,0,0,0,0
ENST00000307786,0,4,0,0
ENST00000321399,0,0,0,0
ENST00000442889,0,0,0,0
ENST00000361521,21,0,0,30
ENST00000378567,11,5,0,4
ENST00000415295,0,0,0,0
ENST00000477264,0,0,0,0
ENST00000357760,0,0,0,0
ENST00000624652,0,0,0,0
ENST00000527098,0,0,0,0
ENST00000412228,0,0,0,0
ENST00000565563,0,0,0,0
ENST00000505322,0,0,0,0
ENST00000361311,0,0,0,0
ENST00000477045,0,0,0,3
ENST00000422076,0,0,0,0
ENST00000309212,213,442,0,98
ENST00000491998,7,7,0,0
ENST00000418950,0,0,0,0
ENST00000531377,0,0,0,0
ENST00000465125,0,0,0,0
ENST00000471223,1,7,0,0
ENST00000451778,0,0,0,0
ENST00000477686,0,0,0,0
ENST00000377740,0,0,0,0
ENST00000493807,0,0,0,0
ENST00000377748,0,0,0,0
ENST00000496325,0,0,0,0
ENST00000493207,1,2,0,1
ENST00000461467,0,0,0,0
ENST00000496329,0,0,0,0
ENST00000624431,0,0,0,0
ENST00000430109,0,0,0,0
ENST00000641845,0,0,0,0
ENST00000612080,2,2,1,1
ENST00000417636,0,0,0,0
ENST00000419916,0,0,0,0
ENST00000338639,0,0,0,12
ENST00000377298,0,0,0,322
ENST00000424215,0,0,0,0
ENST00000341290,0,0,0,0
ENST00000479331,0,0,0,0
ENST00000453935,4,0,0,0
ENST00000480991,2,0,0,21
ENST00000455464,0,2,0,1
ENST00000450926,0,0,0,0
ENST00000378251,42,63,0,44
ENST00000460777,0,0,0,0
ENST00000486072,0,0,0,0
ENST00000464985,0,0,0,0
ENST00000493373,0,0,0,0
ENST00000639593,0,0,0,0
ENST00000354437,0,0,0,0
ENST00000411962,0,0,0,0
ENST00000464383,0,0,0,0
ENST00000607670,0,0,0,0
ENST00000620200,0,0,0,0
ENST00000490905,0,0,0,0
ENST00000460602,0,9,0,0
ENST00000473964,0,0,0,0
ENST00000506177,0,0,0,0
ENST00000482602,0,0,0,0
ENST00000434686,0,0,0,0
ENST00000482352,3,2,0,3
ENST00000323275,0,0,0,0
ENST00000604566,0,0,0,0
ENST00000632803,0,0,0,0
ENST00000442392,5,0,0,0
ENST00000506488,0,0,0,0
ENST00000609009,0,0,0,0
ENST00000634344,0,0,0,0
ENST00000644246,0,0,0,0
ENST00000497675,4,10,0,19
ENST00000434576,0,0,0,0
ENST00000450305,0,0,0,0
ENST00000440825,0,0,0,0
ENST00000485036,0,0,0,0
ENST00000339350,0,0,0,0
ENST00000543390,0,0,0,0
ENST00000379370,0,0,0,5
ENST00000435556,0,0,0,0
ENST00000461703,0,0,0,0
ENST00000423197,0,0,0,0
ENST00000644482,2,2,0,2
ENST00000641303,0,0,0,0
ENST00000634966,0,0,0,0
ENST00000340677,0,0,0,1
ENST00000379116,0,0,0,0
ENST00000415330,0,0,0,0
ENST00000465387,0,0,0,0
ENST00000466651,0,0,0,0
ENST00000378518,0,0,0,0
ENST00000607096,0,0,0,0
ENST00000477278,0,0,0,0
ENST00000378513,0,0,0,0
ENST00000378512,16,0,0,17
ENST00000635619,0,0,0,0
ENST00000511099,0,0,0,0
ENST00000647043,0,0,0,0
ENST00000378733,0,3,0,0
ENST00000408918,40,39,0,0
ENST00000378223,0,0,0,0
ENST00000054650,0,0,0,2
ENST00000378736,0,0,0,3
ENST00000526797,0,0,0,0
ENST00000475121,0,0,0,0
ENST00000425598,0,0,0,0
ENST00000641229,0,0,0,0
ENST00000437157,0,0,0,0
ENST00000377999,0,0,0,0
ENST00000466813,0,0,0,0
ENST00000377627,0,0,0,15
ENST00000378427,0,0,0,0
ENST00000467404,0,0,0,0
ENST00000378425,0,0,0,0
ENST00000378424,0,0,0,0
ENST00000493964,0,0,0,0
ENST00000474659,0,0,0,0
ENST00000604194,0,0,0,0
ENST00000429572,4,3,0,0
ENST00000492508,2,2,0,2
ENST00000511502,0,0,0,0
ENST00000378675,0,0,0,0
ENST00000461142,0,5,0,0
ENST00000585139,0,0,0,0
ENST00000355439,4,0,0,5
ENST00000455207,0,0,0,0
ENST00000473358,3,2,0,0
ENST00000516445,0,0,0,0
ENST00000294599,3,0,0,9
ENST00000492343,0,0,0,5
ENST00000561886,0,0,0,0
ENST00000514625,0,0,0,0
ENST00000502666,0,0,0,0
ENST00000639935,0,0,0,0
ENST00000416731,0,0,0,0
ENST00000478098,0,0,0,0
ENST00000377577,0,0,0,45
ENST00000454104,0,0,0,0
ENST00000497113,0,0,0,0
ENST00000492768,0,0,0,0
ENST00000379290,0,0,0,0
ENST00000530031,0,0,0,0
ENST00000443438,1,2,0,0
ENST00000464665,0,0,0,0
ENST00000420522,0,0,0,0
ENST00000641940,0,0,0,0
ENST00000427998,0,0,0,0
ENST00000419838,0,0,0,0
ENST00000400921,0,0,0,0
ENST00000400928,0,0,0,0
ENST00000400929,0,0,0,0
ENST00000426570,0,0,0,0
ENST00000463492,0,0,0,0
ENST00000502470,0,0,0,0
ENST00000640949,0,0,0,0
ENST00000618806,0,0,0,0
ENST00000643943,0,0,0,0
ENST00000507012,0,0,0,0
ENST00000473993,0,0,0,0
ENST00000419160,0,2,0,0
ENST00000442673,3,0,0,0
ENST00000464286,0,0,0,1
ENST00000489730,0,0,0,0
ENST00000411823,0,0,0,0
ENST00000641049,0,0,0,3
ENST00000456328,1,1,0,2
ENST00000471930,3,0,0,0
ENST00000378708,0,0,0,0
ENST00000464043,0,0,0,0
ENST00000502588,0,0,0,0
ENST00000486138,0,0,0,0
ENST00000443930,0,0,0,0
ENST00000459994,0,0,0,0
ENST00000432521,0,0,0,0
ENST00000466994,0,0,0,2
ENST00000492998,0,0,0,0
ENST00000515760,0,0,0,0
ENST00000473511,0,0,0,0
ENST00000503792,0,0,0,0
ENST00000532952,0,0,0,0
ENST00000414210,0,0,0,0
ENST00000471840,0,8,0,0
ENST00000486627,0,0,0,0
ENST00000306256,0,0,0,0
ENST00000490738,0,0,0,0
ENST00000510900,0,0,0,0
ENST00000343889,0,0,0,0
ENST00000423619,81,73,0,45
ENST00000476864,0,0,0,0
ENST00000514363,0,0,0,0
ENST00000494748,8,1,0,22
ENST00000412115,0,0,0,0
ENST00000477196,0,0,0,0
ENST00000480479,8,10,0,3
ENST00000480186,0,0,0,0
ENST00000467712,0,0,0,0
ENST00000449660,0,0,0,0
ENST00000536656,0,0,0,19
ENST00000458166,0,0,0,0
ENST00000378725,1,1,0,1
ENST00000378726,19,15,0,16
ENST00000413887,0,0,0,0
ENST00000532772,0,0,0,0
ENST00000437146,0,0,0,0
ENST00000448629,0,0,0,0
ENST00000602916,0,0,0,0
ENST00000453464,0,0,0,0
ENST00000448624,0,0,0,0
ENST00000378344,139,85,0,115
ENST00000472741,0,0,0,0
ENST00000451196,0,0,0,0
ENST00000601486,0,0,0,0
ENST00000321751,0,0,0,0
ENST00000471204,0,0,0,0
ENST00000461150,0,0,0,0
ENST00000365545,0,0,0,0
ENST00000473343,0,0,0,1
ENST00000505228,0,0,0,0
ENST00000495347,0,0,0,0
ENST00000378230,22,37,0,24
ENST00000463260,6,1,0,3
ENST00000624697,0,0,0,0
ENST00000377541,0,0,0,0
ENST00000435891,0,0,0,0
ENST00000428504,0,0,0,0
ENST00000495233,0,0,0,0
ENST00000467067,0,0,0,12
ENST00000288774,91,73,0,35
ENST00000517213,0,0,0,0
ENST00000470520,0,0,0,0
ENST00000642557,0,0,0,0
ENST00000607632,0,0,0,0
ENST00000400913,0,0,0,0
ENST00000400915,0,0,0,0
ENST00000400919,0,0,0,0
ENST00000400918,0,0,0,0
ENST00000487053,12,9,0,0
ENST00000468561,0,0,0,0
ENST00000479263,0,0,0,0
ENST00000468365,0,0,0,0
ENST00000635029,0,0,0,0
ENST00000639625,0,0,0,0
ENST00000513135,0,0,0,1
ENST00000477990,15,2,0,0
ENST00000487186,3,0,0,2
ENST00000410691,0,0,0,0
